Title,1960s,1970s,1980s,1990s,2000s,2010s
Bleak House,4.238258877434135,4.8754062838569885,4.697986577181208,5.007153075822604,5.354659248956885,4.825901038485034
David Copperfield,3.2073310423825885,3.5752979414951245,5.956375838926174,4.220314735336195,2.781641168289291,3.3598045204642637
Great Expectations,3.436426116838488,3.5752979414951245,3.104026845637584,4.363376251788269,3.2684283727399164,2.8711056811240074
Middlemarch,5.841924398625429,6.500541711809317,7.2147651006711415,5.865522174535051,5.632823365785813,6.536346976175931
