Author,1960s,1970s,1980s,1990s,2000s,2010s
Bronte,4.238258877434135,10.292524377031418,11.409395973154362,11.659513590844064,8.901251739,0.12217470983506415
Dickens,25.42955326460481,29.902491874322862,30.285234899328863,25.894134477825464,25.17385257301808,25.65668906536347
Eliot,21.534936998854526,23.61863488624052,29.194630872483224,22.031473533619454,23.92211405,22.052535125229078
Hardy,15.349369988545247,23.185265438786566,20.80536912751678,15.021459227467812,9.805285118219748,11.48442272449603
