0,629
1,4278
2,3953
3,5477
4,3942
5,4484
6,5731
7,2063
8,2826
9,5299
10,5618
11,4852
12,8915
13,4824
14,4767
15,6869
16,6700
17,4615
18,5689
19,2019
20,5618
21,3973
22,7295
23,6102
24,6097
25,3585
26,2457
27,4446
28,2511
29,3855
30,3355
31,4977
32,5797
33,2851
34,3978
35,5615
36,7808
37,10584
38,4556
39,6160
40,7151
41,2570
42,5773
43,3479
44,1572
45,8843
46,4652
47,2769
48,4658
49,2074
50,5322
51,6416
52,4931
53,6617
54,5920
55,2338
56,10270
57,4932
58,9378
59,1451
60,5487
61,6860
62,5660
63,3906
64,8425
65,2560
66,4832
67,3779
68,3829
69,5151
70,6289
71,8358
72,1923
73,2015
74,5370
75,3739
76,5150
77,3437
78,2106
79,1090
80,3107
81,4988
82,1876
83,3946
84,5126
85,1660
86,2236
87,3484
