0,3520
1,5880
2,2098
3,2386
4,277
5,1573
6,1575
7,2214
8,228
9,975
10,2131
11,2063
12,782
13,223
14,121
15,7194
16,2571
17,330
18,696
19,3052
20,9309
21,2770
22,2003
23,842
24,1758
25,332
26,145
27,2352
28,1710
29,2155
30,364
31,799
32,188
33,1128
34,928
35,911
36,721
37,1763
38,56
39,1364
40,319
41,1725
42,2394
43,863
44,0
45,322
46,795
47,160
48,820
49,0
50,2216
51,314
52,212
53,1371
54,792
55,956
56,636
57,279
58,1002
59,34
60,313
61,1665
62,225
63,82
64,288
65,89
66,97
67,34
68,28
69,70
70,527
71,779
72,392
73,877
74,1438
75,227
76,2259
77,465
78,619
79,49
80,4067
81,2429
82,92
83,1134
84,109
85,1332
86,49
87,2890
