0,26
1,318
2,197
3,187
4,0
5,165
6,123
7,82
8,30
9,266
10,265
11,169
12,307
13,22
14,30
15,514
16,52
17,0
18,0
19,501
20,510
21,24
22,68
23,13
24,190
25,178
26,0
27,0
28,159
29,0
30,120
31,0
32,0
33,78
34,0
35,91
36,0
37,391
38,37
39,49
40,43
41,0
42,232
43,72
44,0
45,207
46,0
47,0
48,36
49,109
50,0
51,0
52,0
53,0
54,46
55,32
56,68
57,0
58,0
59,0
60,0
61,283
62,79
63,219
64,0
65,0
66,0
67,0
68,131
69,0
70,0
71,159
72,0
73,0
74,34
75,0
76,0
77,0
78,0
79,120
80,0
81,80
82,0
83,93
84,0
85,0
86,0
87,246
