Text A,Text B,Threshold,N-Grams,Num Matches,Text A Length,Text B Length,Locations in A,Locations in B
"middlemarch.txt","e0b/e0b-txt/Robbins_2010_VICTORIAN COSMOPOLITANISM, INTERRUPTED.txt","6","3","4","1793446","19989","[(1078400, 1078920), (1078931, 1079164), (1085684, 1085739), (1577371, 1577452)]","[(1522, 2043), (2052, 2286), (9705, 9760), (11057, 11139)]"
"middlemarch.txt","e0b/e0b-txt/Harvey_1958_George Eliot and the Omniscient Author Convention.txt","6","3","4","1793446","67563","[(1285757, 1285829), (1285830, 1286177), (1302613, 1302677), (1302690, 1302846)]","[(63051, 63123), (63289, 63636), (65507, 65569), (65580, 65735)]"
"middlemarch.txt","e0b/e0b-txt/GALLAGHER_2005_George Eliot.txt","6","3","14","1793446","49166","[(7202, 7359), (7371, 7495), (7507, 7573), (868776, 868838), (869039, 869091), (869097, 869394), (869410, 869681), (869689, 869764), (1046461, 1046741), (1047039, 1047129), (1047209, 1047350), (1047398, 1047456), (1047464, 1047600), (1793001, 1793130)]","[(8263, 8418), (8429, 8553), (8563, 8629), (15310, 15372), (15389, 15441), (15446, 15742), (15756, 16026), (16034, 16121), (36426, 36712), (36783, 36873), (36881, 37022), (40150, 40208), (40215, 40351), (42166, 42295)]"
"middlemarch.txt","e0b/e0b-txt/Beaty_1958_The Forgotten Past of Will Ladislaw.txt","6","3","2","1793446","10799","[(1543775, 1543880), (1543888, 1544237)]","[(7847, 7951), (7959, 8304)]"
"middlemarch.txt","e0b/e0b-txt/Smith_1963_Music in the Victorian Novel.txt","6","3","6","1793446","38308","[(129116, 129237), (129244, 129309), (131038, 131214), (212300, 212415), (1175308, 1175517), (1175532, 1175619)]","[(13530, 13649), (13656, 13721), (17564, 17741), (20288, 20402), (20902, 21112), (21128, 21215)]"
"middlemarch.txt","e0b/e0b-txt/BLAIR_2001_A CHANGE IN THE UNITS.txt","6","3","7","1793446","37581","[(302866, 303062), (307180, 307252), (307280, 307441), (307442, 307498), (307532, 307671), (308717, 308894), (321956, 322033)]","[(1332, 1528), (17864, 17936), (17940, 18102), (18234, 18290), (18294, 18433), (18441, 18617), (28588, 28666)]"
"middlemarch.txt","e0b/e0b-txt/COLÓN_2005_ONE FUNCTION IN PARTICULAR.txt","6","3","1","1793446","54259","[(29100, 29163)]","[(48419, 48483)]"
"middlemarch.txt","e0b/e0b-txt/Palmer_2011_Social Minds in Fiction and Criticism.txt","6","3","24","1793446","133615","[(3785, 4019), (4030, 4087), (4097, 4480), (4702, 4811), (4882, 5068), (5808, 5977), (6223, 6425), (6851, 7072), (7133, 7332), (7957, 8124), (8135, 8240), (8434, 8745), (9228, 9470), (9481, 9645), (9652, 9714), (9724, 9786), (9990, 10202), (11866, 11922), (11935, 12166), (12178, 12279), (12289, 12352), (12363, 12415), (12424, 12516), (321956, 322045)]","[(89667, 89909), (89920, 89977), (89987, 90376), (90385, 90494), (90570, 90759), (90781, 90954), (90963, 91169), (91226, 91450), (91656, 91865), (91885, 92057), (92068, 92174), (92188, 92509), (92520, 92775), (92787, 92970), (92978, 93040), (93050, 93112), (93121, 93348), (93391, 93447), (93461, 93696), (93708, 93809), (93819, 93882), (93894, 93950), (93959, 94051), (110061, 110150)]"
"middlemarch.txt","e0b/e0b-txt/Travis_1999_From Shattered Mummies to An Epic Life.txt","6","3","7","1793446","51483","[(1276, 1404), (40132, 40256), (50610, 50728), (51612, 51681), (834730, 834937), (835075, 835196), (1147344, 1147483)]","[(11621, 11749), (17082, 17206), (25093, 25211), (29759, 29829), (33477, 33683), (33811, 33929), (35582, 35719)]"
"middlemarch.txt","e0b/e0b-txt/Orlove_2008_Editorial.txt","6","3","2","1793446","8854","[(560105, 560280), (560292, 560938)]","[(7140, 7314), (7325, 7969)]"
"middlemarch.txt","e0b/e0b-txt/Kearney_1971_Time and Beauty in Daniel Deronda.txt","6","3","1","1793446","56174","[(2748, 2821)]","[(46746, 46819)]"
"middlemarch.txt","e0b/e0b-txt/MAYNES-AMINZADE_2014_THE OMNICOMPETENT NARRATOR FROM GEORGE ELIOT TO JONATHAN FRANZEN.txt","6","3","6","1793446","61073","[(302006, 302114), (307180, 307545), (906211, 906321), (961585, 961661), (1295087, 1295204), (1295210, 1295368)]","[(12141, 12249), (22129, 22495), (23493, 23605), (23969, 24045), (24176, 24291), (24295, 24451)]"
"middlemarch.txt","e0b/e0b-txt/FULMER_1974_CONTRASTING PAIRS OF HEROINES IN GEORGE ELIOT'S FICTION.txt","6","3","3","1793446","20856","[(18507, 18566), (231814, 232000), (232001, 232238)]","[(6156, 6215), (18725, 18912), (19054, 19292)]"
"middlemarch.txt","e0b/e0b-txt/Mason_1971_Middlemarch and Science.txt","6","3","9","1793446","50928","[(195344, 195574), (195599, 195672), (307913, 307968), (308074, 308127), (345278, 345333), (345356, 345411), (370836, 370885), (449972, 450025), (450053, 450107)]","[(14883, 15113), (15141, 15215), (30156, 30211), (30271, 30324), (34431, 34486), (34487, 34542), (44300, 44349), (48766, 48819), (48820, 48874)]"
"middlemarch.txt","e0b/e0b-txt/Altick_1978_Anachronisms in Middlemarch.txt","6","3","7","1793446","18586","[(572715, 573082), (573755, 573809), (575624, 575752), (575755, 575838), (888697, 888911), (1473040, 1473152), (1473801, 1473910)]","[(3958, 4325), (4464, 4518), (4649, 4776), (5531, 5614), (8270, 8485), (9245, 9357), (11370, 11479)]"
"middlemarch.txt","e0b/e0b-txt/Levine_1962_Determinism and Responsibility in the Works of George Eliot.txt","6","3","3","1793446","67001","[(1792403, 1792452), (1792745, 1792793), (1793213, 1793276)]","[(20915, 20964), (26245, 26293), (26605, 26669)]"
"middlemarch.txt","e0b/e0b-txt/COLEMAN_2008_DANIEL DERONDA AND THE LIMITS OF SERMONIC VOICE.txt","6","3","1","1793446","63216","[(1792239, 1792338)]","[(52230, 52329)]"
"middlemarch.txt","e0b/e0b-txt/Greiner_2009_Sympathy Time.txt","6","3","3","1793446","77589","[(242615, 242695), (320538, 320577), (411954, 412107)]","[(43987, 44068), (45514, 45553), (49820, 49973)]"
"middlemarch.txt","e0b/e0b-txt/COLES_1985_The Virtues of Middlemarch.txt","6","3","6","1793446","20916","[(303328, 303483), (1512763, 1512854), (1575529, 1575570), (1575581, 1575682), (1576339, 1576436), (1784315, 1784526)]","[(4216, 4374), (5358, 5448), (6800, 6840), (6853, 6954), (6984, 7082), (7565, 7777)]"
"middlemarch.txt","e0b/e0b-txt/Phelan_2011_Toward a Rhetorical Perspective on Social Minds.txt","6","3","1","1793446","16041","[(9444, 9554)]","[(10750, 10860)]"
"middlemarch.txt","e0b/e0b-txt/Wilson_1970_Eggleston's Indebtedness to George Eliot in Roxy.txt","6","3","3","1793446","30821","[(5854, 5943), (57858, 57964), (156835, 156888)]","[(4506, 4595), (5010, 5117), (5253, 5306)]"
"middlemarch.txt","e0b/e0b-txt/Page_2011_Response to Target Essay on Social Minds.txt","6","3","1","1793446","11620","[(321956, 322045)]","[(8149, 8238)]"
"middlemarch.txt","e0b/e0b-txt/Oatley_2011_The reader and the space-in-between.txt","6","3","3","1793446","8493","[(5832, 5894), (8434, 8655), (9248, 9303)]","[(2285, 2347), (3609, 3830), (3837, 3892)]"
"middlemarch.txt","e0b/e0b-txt/Blake_1976_Middlemarch and the Woman Question.txt","6","3","23","1793446","76465","[(5804, 5943), (49627, 49710), (49759, 49949), (50047, 50352), (50679, 50728), (69106, 69269), (127066, 127177), (127189, 127375), (299402, 299455), (583174, 583226), (583234, 583656), (583657, 584064), (584141, 584240), (584763, 584826), (586695, 586804), (768609, 768687), (930293, 930399), (974163, 974307), (1016089, 1016179), (1161102, 1161371), (1730991, 1731170), (1787714, 1787822), (1787884, 1787971)]","[(16318, 16457), (17959, 18043), (18171, 18361), (18369, 18678), (18826, 18876), (21152, 21313), (23998, 24110), (24121, 24308), (25756, 25809), (30170, 30222), (30230, 30647), (30807, 31212), (31289, 31388), (31637, 31700), (43376, 43486), (43658, 43736), (49413, 49505), (50846, 50991), (52313, 52403), (54316, 54583), (55937, 56117), (57436, 57545), (57819, 57906)]"
"middlemarch.txt","e0b/e0b-txt/Cooke_1883_George Eliot.txt","6","3","21","1793446","943202","[(121806, 121859), (121896, 122226), (213162, 213730), (213740, 214056), (214057, 214121), (214194, 214338), (476682, 477000), (1001274, 1001324), (1059034, 1059322), (1252326, 1252376), (1327621, 1327723), (1571207, 1571322), (1791454, 1791757), (1791762, 1792167), (1792274, 1792596), (1792604, 1792687), (1792733, 1792851), (1792862, 1792907), (1792914, 1792974), (1792991, 1793042), (1793118, 1793169)]","[(236318, 236371), (236407, 236736), (338132, 338703), (338712, 339033), (339084, 339148), (339223, 339369), (343352, 343670), (424051, 424101), (540001, 540290), (559841, 559891), (582808, 582912), (601131, 601237), (708112, 708416), (708422, 708828), (709483, 709803), (709812, 709896), (709942, 710061), (710073, 710118), (710129, 710189), (710204, 710254), (710334, 710384)]"
"middlemarch.txt","e0b/e0b-txt/Welsh_1959_George Eliot and the Romance.txt","6","3","3","1793446","35351","[(1276, 1681), (1699, 1972), (1979, 2084)]","[(12507, 12912), (12932, 13204), (13212, 13318)]"
"middlemarch.txt","e0b/e0b-txt/Hughes_2005_Constructing Fictions of Authorship in George Eliot's Middlemarch, 1871-1872.txt","6","3","4","1793446","57707","[(930450, 930506), (1581135, 1581199), (1666805, 1667217), (1785133, 1785215)]","[(3476, 3533), (4378, 4442), (5800, 6212), (7564, 7647)]"
"middlemarch.txt","e0b/e0b-txt/Pickrel_1988_Flat and Round Characters Reconsidered.txt","6","3","8","1793446","63731","[(1575564, 1575631), (1579832, 1580004), (1580009, 1580117), (1580128, 1580903), (1580922, 1581104), (1581105, 1581169), (1581182, 1581242), (1581260, 1581322)]","[(17834, 17900), (19471, 19643), (19648, 19756), (19768, 20545), (20565, 20746), (20919, 20982), (20983, 21042), (21047, 21109)]"
"middlemarch.txt","e0b/e0b-txt/Smith_1945_Macbeth's Cyme Once More.txt","6","3","2","1793446","16287","[(1785941, 1786014), (1786016, 1786103)]","[(11003, 11076), (12294, 12381)]"
"middlemarch.txt","e0b/e0b-txt/Greenberg_1961_The Heritage of Will Ladislaw.txt","6","3","4","1793446","11699","[(1543792, 1544166), (1544870, 1545057), (1545684, 1546011), (1546048, 1546154)]","[(4867, 5239), (7218, 7406), (8399, 8728), (8735, 8841)]"
"middlemarch.txt","e0b/e0b-txt/Newton_1973_The Role of the Narrator in George Eliot's Novels.txt","6","3","5","1793446","27855","[(172375, 172655), (344324, 344390), (344397, 344718), (560694, 560746), (591394, 591447)]","[(15452, 15732), (16543, 16609), (16617, 16939), (17545, 17597), (22695, 22748)]"
"middlemarch.txt","e0b/e0b-txt/Youngkin_2015_“Narrative Readings of the Images She Sees”.txt","6","3","17","1793446","89599","[(3246, 3494), (12689, 12740), (12748, 12863), (13028, 13133), (27430, 27561), (27608, 27776), (156944, 157045), (159692, 159752), (399647, 399732), (399738, 400001), (400749, 400824), (402603, 402725), (402730, 402800), (1787722, 1787822), (1792048, 1792237), (1792460, 1792587), (1793133, 1793281)]","[(46283, 46530), (48863, 48914), (48923, 49038), (49046, 49151), (49501, 49631), (49677, 49844), (50738, 50839), (52570, 52629), (53884, 53971), (53977, 54240), (54751, 54826), (54901, 55023), (55619, 55689), (58178, 58278), (58666, 58856), (58866, 58993), (59055, 59203)]"
"middlemarch.txt","e0b/e0b-txt/HARDY_2006_WRITING A CRITIC'S BIOGRAPHY.txt","6","3","14","1793446","43863","[(518731, 518771), (621427, 621647), (621656, 621830), (621889, 621932), (622140, 622181), (906852, 906926), (906931, 907469), (907480, 907562), (907688, 907787), (907827, 907871), (908014, 908077), (908096, 908184), (908188, 908251), (908658, 908809)]","[(11471, 11511), (19364, 19582), (19590, 19765), (19831, 19874), (19972, 20013), (25437, 25512), (25517, 26056), (26064, 26146), (26274, 26373), (26409, 26452), (27798, 27861), (27884, 27974), (27975, 28039), (28046, 28198)]"
"middlemarch.txt","e0b/e0b-txt/Mugglestone_1995_'Grammatical Fair Ones'.txt","6","3","7","1793446","37658","[(196062, 196202), (197595, 197981), (204120, 204175), (204273, 204453), (568693, 568822), (1243303, 1243437), (1243650, 1243797)]","[(5046, 5187), (26732, 27115), (28211, 28265), (28303, 28482), (29309, 29438), (29927, 30066), (30595, 30741)]"
"middlemarch.txt","e0b/e0b-txt/REIBEL_2009_ACTS OF IMAGINATION.txt","6","3","1","1793446","79116","[(176331, 176579)]","[(63763, 64013)]"
"middlemarch.txt","e0b/e0b-txt/Miller_1978_The Problematic of Ending in Narrative.txt","6","3","1","1793446","11074","[(1777677, 1777724)]","[(8010, 8058)]"
"middlemarch.txt","e0b/e0b-txt/Swann_1972_Middlemarch.txt","6","3","5","1793446","80248","[(698732, 698791), (698795, 699016), (1368266, 1368344), (1690935, 1691448), (1691455, 1691646)]","[(17023, 17080), (17139, 17356), (31524, 31602), (43338, 43850), (43858, 44046)]"
